Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
pse_R941.10.fq.seed2.ont	3	3	3	3	3	3	6383464	6383464	6383464	6383464	6383464	6383464	3	3964194	6383464	6410639	66.41	66.40	3964194	3964194	981820	981820	2936503.9	2924055.9	1	1	3	3	1	1	3964194	0	0	0	0	0 + 1 part	2622	99.478	1.001	0.00	34.61	59.01	2213218	6380518	1748354	1748354	981820	981820	1720755.0	1713460.6	2	2	4	4
pse_R941.10.fq.seed3.ngs	4	4	4	4	4	4	6397650	6397650	6397650	6397650	6397650	6397650	4	4280206	6397650	6410639	66.40	66.40	4280206	4280206	760392	760392	3124568.2	3118237.3	1	1	3	3	1	1	970707	2	0	0	0	0 + 1 part	13140	99.434	1.002	0.00	6.61	8.35	4267066	6384338	4267066	4267066	760220	760220	3078377.7	3072140.4	1	1	3	3
pse_R941.10.fq.seed3.ont	4	4	4	4	4	4	6395720	6395720	6395720	6395720	6395720	6395720	4	4279003	6395720	6410639	66.41	66.40	4279003	4279003	760200	760200	3123712.0	3116442.4	1	1	3	3	1	1	970275	0	0	0	0	0 + 0 part	0	99.441	1.001	0.00	37.68	63.77	4265863	6382405	4265863	4265863	760025	760025	3077549.3	3070387.1	1	1	3	3
pse_R941.10.fq.seed4.ngs	2	2	2	2	2	2	6382479	6382479	6382479	6382479	6382479	6382479	2	5412516	6382479	6410639	66.40	66.40	5412516	5412516	969963	969963	4737368.9	4716559.1	1	1	2	2	1	1	5412516	0	0	0	0	0 + 0 part	0	99.560	1.000	0.00	0.08	0.74	4800272	6382479	4800272	4800272	969963	969963	3816429.7	3799665.2	1	1	2	2
pse_R941.10.fq.seed4.ont	3	3	3	3	2	2	6403884	6403884	6403884	6403884	6380173	6380173	3	5410527	6403884	6410639	66.32	66.40	5410527	5410527	969646	969646	4718164.5	4713192.9	1	1	2	2	1	1	5410527	0	0	0	0	1 + 0 part	23711	99.560	1.000	0.00	30.97	54.59	4798429	6380173	4798429	4798429	969646	612098	3800786.9	3796781.9	1	1	2	3
pse_R941.10.fq.seed5.ngs	2	2	2	2	2	2	6386468	6386468	6386468	6386468	6386468	6386468	2	4544604	6386468	6410639	66.39	66.40	4544604	4544604	1841864	1841864	3765131.0	3750934.7	1	1	2	2	2	1	4544604	0	0	0	0	0 + 1 part	1265	99.506	1.001	0.00	6.06	5.92	2425706	6385203	1841864	1841864	1482471	635162	1859817.3	1852804.9	2	2	3	4
pse_R941.10.fq.seed5.ont	2	2	2	2	2	2	6384123	6384123	6384123	6384123	6384123	6384123	2	4543088	6384123	6410639	66.40	66.40	4543088	4543088	1841035	1841035	3763877.7	3748309.4	1	1	2	2	2	1	4543088	0	0	0	0	0 + 0 part	0	99.519	1.001	0.00	42.31	68.35	2425501	6383476	1841035	1841035	1481901	635039	1859577.3	1851885.6	2	2	3	4
pse_R941.110.fq.seed1.ngs	1	1	1	1	1	1	6384190	6384190	6384190	6384190	6384190	6384190	1	6384190	6384190	6410639	66.40	66.40	6384190	6384190	6384190	6384190	6384190.0	6357850.1	1	1	1	1	1	1	6384190	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.44	6384190	6384190	6384190	6384190	6384190	6384190	6384190.0	6357850.1	1	1	1	1
pse_R941.110.fq.seed1.ont	3	3	3	3	2	1	6424296	6424296	6424296	6424296	6410230	6383648	3	6383648	6424296	6410639	66.21	66.40	6383648	6383648	6383648	6383648	6343398.0	6356911.7	1	1	1	1	1	1	6383648	0	0	0	0	2 + 0 part	40648	99.587	1.000	0.00	0.55	7.75	6383648	6383648	6383648	6383648	6383648	6383648	6343257.2	6356770.6	1	1	1	1
pse_R941.110.fq.seed2.ngs	1	1	1	1	1	1	6384199	6384199	6384199	6384199	6384199	6384199	1	6384199	6384199	6410639	66.40	66.40	6384199	6384199	6384199	6384199	6384199.0	6357868.0	1	1	1	1	1	1	6384199	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.64	6384199	6384199	6384199	6384199	6384199	6384199	6384199.0	6357868.0	1	1	1	1
pse_R941.110.fq.seed2.ont	5	5	5	2	2	1	6432096	6432096	6432096	6410150	6410150	6383631	5	6383631	6432096	6410639	66.18	66.40	6383631	6383631	6383631	6383631	6335665.5	6356871.6	1	1	1	1	1	1	6383631	0	0	0	0	4 + 0 part	48465	99.587	1.000	0.00	0.63	7.90	6383631	6383631	6383631	6383631	6383631	6383631	6335531.2	6356736.8	1	1	1	1
pse_R941.110.fq.seed3.ngs	1	1	1	1	1	1	6384190	6384190	6384190	6384190	6384190	6384190	1	6384190	6384190	6410639	66.40	66.40	6384190	6384190	6384190	6384190	6384190.0	6357850.1	1	1	1	1	1	1	6384190	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.02	0.61	6384188	6384188	6384188	6384188	6384188	6384188	6384186.0	6357846.1	1	1	1	1
pse_R941.110.fq.seed3.ont	3	3	3	3	2	1	6440641	6440641	6440641	6440641	6416882	6383644	3	6383644	6440641	6410639	66.17	66.40	6383644	6383644	6383644	6383644	6327410.6	6357023.1	1	1	1	1	1	1	6383644	0	0	0	0	2 + 0 part	56997	99.587	1.000	0.00	0.50	7.68	6383642	6383642	6383642	6383642	6383642	6383642	6327147.4	6356758.7	1	1	1	1
pse_R941.110.fq.seed4.ngs	1	1	1	1	1	1	6384166	6384166	6384166	6384166	6384166	6384166	1	6384166	6384166	6410639	66.40	66.40	6384166	6384166	6384166	6384166	6384166.0	6357802.3	1	1	1	1	1	1	6384166	0	0	0	0	0 + 0 part	0	99.587	1.000	0.00	0.00	0.52	6384166	6384166	6384166	6384166	6384166	6384166	6384166.0	6357802.3	1	1	1	1
pse_R941.110.fq.seed4.ont	4	4	4	3	2	1	6447938	6447938	6447938	6440867	6417151	6383608	4	6383608	6447938	6410639	66.11	66.40	6383608	6383608	6383608	6383608	6320189.3	6356962.0	1	1	1	1	1	1	6383608	0	0	0	0	3 + 0 part	64330	99.587	1.000	0.00	0.56	8.00	6383605	6383605	6383605	6383605	6383605	6383605	6319913.9	6356685.0	1	1	1	1
